Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Reasons for canceling by Customer,Reasons for canceling by Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
30-04-2025,19:30:00,CNR4858068984,Incomplete,CUST8252,Prime SUV,Kalupur,Drive-In,,,,,,,Yes,Customer Demand,,,,,
21-04-2025,12:50:00,CNR3043368035,Success,CUST9118,Prime SUV,Nikol,CG Road,4.74,6.56,,,,,,,498.63,Wallet,3.26,3.4,3.5
27-04-2025,23:27:00,CNR6321563330,Canceled by Driver,CUST4557,Prime Sedan,Thaltej,Narol,,,,,Yes,Personal & Car related issue,,,,,,,
07-04-2025,14:46:00,CNR3672477439,Success,CUST6285,Prime SUV,Dariapur,Isanpur,10.82,14.46,,,,,,,220.26,Credit Card,20.14,3.7,3.5
20-04-2025,15:38:00,CNR9111039970,Success,CUST2665,eBike,Asarwa,Lal Darwaja,5.57,14.11,,,,,,,956.556,UPI,11.72,4.6,4.5
20-04-2025,05:15:00,CNR1450584338,Success,CUST5982,Auto,Ghodasar,Vastrapur,11.76,8.68,,,,,,,116.988,Cash,24.7,3.2,3.3
24-04-2025,18:19:00,CNR3927249813,Canceled by Driver,CUST3954,Auto,Prahlad Nagar,Bodakdev,,,,,Yes,Personal & Car related issue,,,,,,,
19-04-2025,09:40:00,CNR3426849237,Canceled by Driver,CUST5847,Prime Sedan,Vejalpur,Saraspur,,,,,Yes,More than permitted people in there,,,,,,,
17-04-2025,07:15:00,CNR7457587322,Canceled by Customer,CUST8484,Bike,Amraiwadi,Jamialpur,,,Yes,Driver asked to cancel,,,,,,,,,
04-04-2025,15:42:00,CNR6811150705,Incomplete,CUST5531,Mini,Naranpura,Maninagar,,,,,,,Yes,Other Issue,,,,,
28-04-2025,07:26:00,CNR7289652923,Incomplete,CUST2601,Bike,Chandkheda,Dariapur,,,,,,,Yes,Customer Demand,,,,,
15-04-2025,09:57:00,CNR6719813012,Incomplete,CUST6153,Mini,Dariapur,Meghaninagar,,,,,,,Yes,Vehicle Breakdown,,,,,
05-04-2025,12:49:00,CNR4516150043,Success,CUST7646,Auto,Narol,Lal Darwaja,6.78,6.64,,,,,,,681.54,Debit Card,2.26,4.6,4.8
01-04-2025,06:52:00,CNR3857518187,Success,CUST7965,Bike,New Ranip,Satellite,13.65,12.45,,,,,,,1103.42,Credit Card,20.42,4.3,4.2
04-04-2025,11:59:00,CNR6772637053,Canceled by Driver,CUST4688,Prime Sedan,Saraspur,Bopal,,,,,Yes,More than permitted people in there,,,,,,,
07-04-2025,23:54:00,CNR2465286810,Success,CUST2077,Prime Sedan,Ambawadi,Kalupur,3.19,6.98,,,,,,,373.75,Wallet,12.42,4.5,4
20-04-2025,16:23:00,CNR5076700186,Success,CUST6573,Mini,Paldi,Bopal,12.32,16.37,,,,,,,237.036,Cash,6.27,4.6,4.5
06-04-2025,15:04:00,CNR2664244597,Success,CUST9539,Mini,Naranpura,Saraspur,5.06,5.75,,,,,,,160.824,Credit Card,3.41,4.1,3.7
22-04-2025,02:55:00,CNR6249944590,Success,CUST7439,eBike,New Ranip,Satellite,10.91,14.72,,,,,,,413.52,Debit Card,23.03,3.6,3
14-04-2025,22:49:00,CNR7732086482,Incomplete,CUST8868,Mini,Juhapura,Naroda,,,,,,,Yes,Customer Demand,,,,,
02-04-2025,07:54:00,CNR1581194465,Success,CUST3459,Mini,Gomtipur,Vasna,12.8,9.52,,,,,,,608.16,Credit Card,21.67,3.1,3.5
28-04-2025,18:29:00,CNR1731210340,Success,CUST6696,Prime SUV,Isanpur,Navrangpura,4.6,17.86,,,,,,,93.76,Credit Card,8.76,4.3,4.4
08-04-2025,02:09:00,CNR2985258664,Success,CUST8854,Mini,Meghaninagar,Prahlad Nagar,7.72,10.38,,,,,,,861.18,UPI,22.73,4.9,3.6
13-04-2025,01:09:00,CNR5762508933,Canceled by Customer,CUST5457,Prime Plus,Navrangpura,Isanpur,,,Yes,Driver asked to cancel,,,,,,,,,
04-04-2025,09:59:00,CNR7854589139,Success,CUST1406,eBike,Vatva,Hansol,13.41,13.03,,,,,,,299.16,Cash,19.12,3.3,4.2
11-04-2025,16:10:00,CNR4768898019,Incomplete,CUST2839,Bike,Bodakdev,Bopal,,,,,,,Yes,Vehicle Breakdown,,,,,
25-04-2025,23:41:00,CNR7164026914,Incomplete,CUST6458,Prime Plus,Ambawadi,Ghodasar,,,,,,,Yes,Other Issue,,,,,
21-04-2025,17:10:00,CNR2649640040,Incomplete,CUST9444,Prime SUV,Naroda,Saraspur,,,,,,,Yes,Customer Demand,,,,,
04-04-2025,06:38:00,CNR2414827024,Success,CUST1262,Prime Plus,Dariapur,Paldi,7.24,10.64,,,,,,,789.74,Credit Card,10.64,4.3,4.5
28-04-2025,09:54:00,CNR5091804494,Success,CUST6684,Mini,Ellis Bridge,Sola,4.13,8.48,,,,,,,410.84,Cash,9.43,3,4
27-04-2025,07:06:00,CNR9875285162,Incomplete,CUST6577,Prime Sedan,Asarwa,Kalupur,,,,,,,Yes,Other Issue,,,,,
20-04-2025,23:29:00,CNR9527044407,Success,CUST3193,Bike,Chandkheda,Amraiwadi,11.69,12.52,,,,,,,1117.104,UPI,7.03,4.4,4.2
15-04-2025,14:47:00,CNR4446622962,Success,CUST5047,Auto,CG Road,Danilimda,9.89,19.38,,,,,,,157.88,Wallet,8.59,4.5,3.6
16-04-2025,09:06:00,CNR6383872726,Canceled by Customer,CUST1475,Prime SUV,Amraiwadi,Drive-In,,,Yes,Driver is not moving towards pickup location,,,,,,,,,
22-04-2025,07:26:00,CNR1707981730,Success,CUST6693,Mini,Bopal,Prahlad Nagar,7.9,10.33,,,,,,,98.74,Credit Card,9.66,4.6,3.8
29-04-2025,11:49:00,CNR7307600523,Success,CUST9633,Mini,Maninagar,Asarwa,3.84,18.2,,,,,,,207.3,Credit Card,22.06,4.4,4.5
23-04-2025,05:36:00,CNR6827216471,Success,CUST7376,Auto,Behrampura,Bopal,14.5,18.64,,,,,,,410.99,Cash,10.83,4.4,3.3
17-04-2025,20:02:00,CNR1201360337,Success,CUST3348,Prime Sedan,Kubernagar,Sola,9.43,8.65,,,,,,,349.92,Debit Card,22.05,3.3,4.8
07-04-2025,08:21:00,CNR6385290879,Canceled by Driver,CUST8706,Prime Sedan,Paldi,Ghodasar,,,,,Yes,Personal & Car related issue,,,,,,,
24-04-2025,23:52:00,CNR8409260094,Canceled by Driver,CUST2592,Prime Plus,Vatva,Ghodasar,,,,,Yes,Customer was coughing/sick,,,,,,,
23-04-2025,15:19:00,CNR7127137086,Success,CUST5593,Auto,Vastrapur,Bopal,6.75,19.53,,,,,,,690.21,UPI,5,4.6,5
03-04-2025,02:15:00,CNR3031115914,Incomplete,CUST9644,Mini,Saraspur,Narol,,,,,,,Yes,Customer Demand,,,,,
25-04-2025,00:56:00,CNR1402877392,Incomplete,CUST4395,Bike,Chharodi,Vastrapur,,,,,,,Yes,Other Issue,,,,,
08-04-2025,08:50:00,CNR9050977152,Success,CUST9548,Mini,Nikol,Naranpura,6.66,14.65,,,,,,,462.6,Wallet,19.39,4.1,4.9
05-04-2025,11:01:00,CNR4137276622,Canceled by Driver,CUST4226,Prime Plus,Bopal,Lal Darwaja,,,,,Yes,Customer was coughing/sick,,,,,,,
17-04-2025,23:55:00,CNR6262090493,Success,CUST4751,Prime Sedan,Thaltej,Kalupur,10.01,12.03,,,,,,,256.5,Wallet,21.1,3.6,3.9
24-04-2025,15:32:00,CNR8065391657,Success,CUST3091,Mini,Maninagar,Naranpura,10.93,6.75,,,,,,,287.09,Credit Card,2.05,3.3,4.7
04-04-2025,23:15:00,CNR6647171651,Success,CUST1071,Prime Sedan,Ranip,Ambawadi,7.18,19.05,,,,,,,310.55,Cash,15.34,4.6,4.9
06-04-2025,16:43:00,CNR4081489682,Success,CUST5301,Bike,Narol,New Ranip,11.06,19.51,,,,,,,999.432,Wallet,21.56,3.2,3.8
14-04-2025,07:43:00,CNR6772300460,Success,CUST9588,Prime Sedan,Prahlad Nagar,Chharodi,10.57,18.28,,,,,,,348.2,UPI,3.49,4.3,3.9
23-04-2025,10:40:00,CNR5084432256,Success,CUST3676,Mini,CG Road,Shahpur,9.98,11.36,,,,,,,116.04,UPI,10.5,3.7,4.5
24-04-2025,20:59:00,CNR3470608607,Incomplete,CUST1103,eBike,Maninagar,Gota,,,,,,,Yes,Other Issue,,,,,
05-04-2025,02:16:00,CNR4155268903,Success,CUST8822,Bike,Hansol,Danilimda,12.4,12.45,,,,,,,462.708,UPI,4.18,3.4,4.5
29-04-2025,06:10:00,CNR2189828873,Canceled by Driver,CUST5433,eBike,Bopal,Hansol,,,,,Yes,Customer related issue,,,,,,,
12-04-2025,01:15:00,CNR1867691354,Canceled by Driver,CUST2556,Prime Plus,Memnagar,Navrangpura,,,,,Yes,Personal & Car related issue,,,,,,,
24-04-2025,17:56:00,CNR6346111343,Canceled by Driver,CUST3538,Prime Plus,Naroda,Manek Chowk,,,,,Yes,Customer was coughing/sick,,,,,,,
28-04-2025,08:27:00,CNR2579810430,Success,CUST1130,Mini,Odhav,Manek Chowk,4.31,15.66,,,,,,,190.31,Debit Card,18.66,4.1,4.1
23-04-2025,08:44:00,CNR2885076985,Success,CUST1308,Auto,Sola,Odhav,5.6,16.53,,,,,,,51.01,Debit Card,24.93,3.4,4.3
14-04-2025,06:28:00,CNR1487681165,Canceled by Driver,CUST1551,Bike,Satellite,Danilimda,,,,,Yes,Customer was coughing/sick,,,,,,,
29-04-2025,11:14:00,CNR7852798510,Canceled by Driver,CUST3370,Prime Sedan,Saraspur,Behrampura,,,,,Yes,Customer related issue,,,,,,,
30-04-2025,10:43:00,CNR4382247414,Success,CUST2052,Prime Sedan,Odhav,Chharodi,8.79,17.63,,,,,,,922.08,UPI,15.33,4,3.6
06-04-2025,09:03:00,CNR5940804117,Canceled by Driver,CUST7632,Prime SUV,Bodakdev,Isanpur,,,,,Yes,Customer was coughing/sick,,,,,,,
12-04-2025,17:19:00,CNR9251984652,Success,CUST2637,Bike,Hansol,Danilimda,13.12,5.78,,,,,,,600.816,UPI,23.54,3.9,3.2
04-04-2025,18:31:00,CNR8022645755,Incomplete,CUST7085,Prime SUV,Chandkheda,Odhav,,,,,,,Yes,Vehicle Breakdown,,,,,
13-04-2025,04:28:00,CNR9355970280,Canceled by Driver,CUST6121,Prime Sedan,New Ranip,Dariapur,,,,,Yes,Customer was coughing/sick,,,,,,,
21-04-2025,17:02:00,CNR4840801678,Success,CUST2859,Auto,Naranpura,Chharodi,12.85,9.43,,,,,,,176.51,Wallet,11.7,3,3.6
29-04-2025,18:31:00,CNR5116890697,Canceled by Customer,CUST6967,Prime Sedan,Sola,Nikol,,,Yes,Change of plans,,,,,,,,,
17-04-2025,10:51:00,CNR1788997032,Success,CUST3317,Bike,Kalupur,Kubernagar,6.52,19.21,,,,,,,147.39,UPI,14.31,4.5,3
26-04-2025,07:22:00,CNR4379910933,Canceled by Driver,CUST4129,Mini,Vatva,Ellis Bridge,,,,,Yes,Customer related issue,,,,,,,
01-04-2025,14:37:00,CNR1870530063,Success,CUST9309,Prime Plus,Amraiwadi,Jamialpur,14.17,6.34,,,,,,,203.64,Wallet,2.7,3.4,4.3
30-04-2025,16:39:00,CNR1585456815,Success,CUST2560,Bike,Meghaninagar,Science City,14.48,16.93,,,,,,,112.06,Debit Card,12.16,3.8,4.9
29-04-2025,09:25:00,CNR2872246788,Success,CUST4147,Prime SUV,Ashram Road,Gota,4.79,18.66,,,,,,,755.13,Wallet,9.77,3.9,4.8
06-04-2025,11:50:00,CNR6755990634,Canceled by Driver,CUST4058,Auto,Sola,Memnagar,,,,,Yes,Personal & Car related issue,,,,,,,
10-04-2025,18:26:00,CNR5069361246,Incomplete,CUST9423,Prime Plus,Narol,Vatva,,,,,,,Yes,Other Issue,,,,,
23-04-2025,00:35:00,CNR7113617776,Success,CUST2174,Auto,Memnagar,Navrangpura,3.03,13.39,,,,,,,333.44,Wallet,7.75,3.2,4
02-04-2025,01:26:00,CNR4008049624,Success,CUST7009,Bike,Sabarmati,Meghaninagar,8.5,13.84,,,,,,,109.52,Cash,5.73,3.3,4.4
28-04-2025,02:33:00,CNR1922250115,Success,CUST2228,Prime Plus,Vatva,Bodakdev,12.58,9.89,,,,,,,83.41,Debit Card,18.87,4.4,4.6
17-04-2025,05:14:00,CNR4442874769,Canceled by Driver,CUST4361,eBike,New Ranip,Prahlad Nagar,,,,,Yes,Customer was coughing/sick,,,,,,,
16-04-2025,11:58:00,CNR1865979538,Success,CUST7076,eBike,Danilimda,Vejalpur,7.12,19.16,,,,,,,773.7,Cash,9.8,4.7,3.6
11-04-2025,04:53:00,CNR3902146605,Canceled by Customer,CUST1563,Mini,Gomtipur,Gota,,,Yes,Wrong Address,,,,,,,,,
18-04-2025,18:37:00,CNR6781854896,Success,CUST3341,Bike,Nikol,Chandkheda,12.69,9.43,,,,,,,976.96,Cash,20.58,5,4.1
05-04-2025,10:51:00,CNR4423032563,Canceled by Driver,CUST7172,Prime Plus,Lal Darwaja,Memnagar,,,,,Yes,Personal & Car related issue,,,,,,,
06-04-2025,05:00:00,CNR7407062430,Success,CUST1486,Auto,Vejalpur,Bodakdev,10.38,14.86,,,,,,,1000.116,Debit Card,18.9,4.3,4
03-04-2025,02:22:00,CNR5751751383,Canceled by Driver,CUST4910,Auto,Meghaninagar,Chandkheda,,,,,Yes,Personal & Car related issue,,,,,,,
21-04-2025,02:43:00,CNR7753625670,Incomplete,CUST5414,Mini,Shahpur,Saraspur,,,,,,,Yes,Customer Demand,,,,,
22-04-2025,17:50:00,CNR7605785912,Canceled by Customer,CUST7138,Prime Plus,Sola,Asarwa,,,Yes,Change of plans,,,,,,,,,
14-04-2025,21:54:00,CNR6070532139,Success,CUST8328,Prime Plus,Sola,Satellite,9.71,9.16,,,,,,,256.35,Credit Card,19.59,4,3.9
23-04-2025,20:42:00,CNR4387216402,Success,CUST5148,Prime Sedan,Gota,Meghaninagar,5.98,8.91,,,,,,,670.93,Debit Card,2.23,3.7,4.3
24-04-2025,19:17:00,CNR1858452925,Canceled by Driver,CUST7565,Prime SUV,Chandkheda,Behrampura,,,,,Yes,Customer was coughing/sick,,,,,,,
20-04-2025,12:25:00,CNR6189848414,Success,CUST6730,Prime SUV,Gota,Paldi,4.56,14.42,,,,,,,425.148,UPI,6.69,3.6,3.6
25-04-2025,23:53:00,CNR8589651523,Success,CUST9020,Prime Plus,Kubernagar,Vejalpur,10.3,5.77,,,,,,,78.7,Cash,5.22,3.2,3.7
22-04-2025,10:09:00,CNR7094031150,Canceled by Driver,CUST9339,Prime Plus,Hansol,Shahpur,,,,,Yes,Personal & Car related issue,,,,,,,
18-04-2025,10:01:00,CNR5297748671,Success,CUST7124,Bike,Ranip,New Ranip,10.24,15.31,,,,,,,320.66,Wallet,19.63,3.7,4.1
23-04-2025,13:08:00,CNR4034132734,Success,CUST6255,eBike,Navrangpura,Danilimda,14.78,9.5,,,,,,,486.99,Cash,18.48,4.2,4.4
01-04-2025,21:11:00,CNR4773811268,Success,CUST1905,Mini,Vasna,Prahlad Nagar,7.95,9.43,,,,,,,235.26,Cash,15.79,3.4,3.6
05-04-2025,01:13:00,CNR1692357172,Success,CUST3854,Prime Sedan,Prahlad Nagar,New Ranip,13.43,16.87,,,,,,,957.6,Debit Card,17.76,4.7,4.7
12-04-2025,04:02:00,CNR2625770396,Success,CUST6698,Prime Sedan,Vatva,Bopal,13.53,16.65,,,,,,,684.3,Wallet,8.56,3.8,4.7
29-04-2025,07:21:00,CNR6741707537,Success,CUST8845,eBike,Satellite,Chharodi,11.24,6.17,,,,,,,268.51,Wallet,19.38,4.8,3.7
06-04-2025,12:48:00,CNR1204565559,Canceled by Customer,CUST8776,Bike,Vatva,Shahpur,,,Yes,Change of plans,,,,,,,,,
08-04-2025,16:35:00,CNR7120834377,Incomplete,CUST2322,Prime Sedan,New Ranip,Vatva,,,,,,,Yes,Vehicle Breakdown,,,,,
02-04-2025,16:26:00,CNR2619010791,Success,CUST2858,Mini,New Ranip,Sabarmati,9.1,8.46,,,,,,,356.82,Cash,3.05,4.7,4.2
21-04-2025,02:15:00,CNR5116782240,Success,CUST9046,Prime Sedan,Vasna,Danilimda,12.98,16.88,,,,,,,200.55,Cash,22.24,4,3.8
13-04-2025,02:23:00,CNR3148163596,Success,CUST2032,Mini,Amraiwadi,Ellis Bridge,10.83,14.13,,,,,,,363.516,Credit Card,18.01,4.2,4.4
11-04-2025,09:05:00,CNR3388290589,Canceled by Driver,CUST6243,Prime Plus,Amraiwadi,Narol,,,,,Yes,Customer related issue,,,,,,,
05-04-2025,21:53:00,CNR2894989196,Incomplete,CUST7346,eBike,Gota,Memnagar,,,,,,,Yes,Vehicle Breakdown,,,,,
15-04-2025,14:04:00,CNR3594124403,Success,CUST5385,Prime Plus,Shahpur,Odhav,5.17,13.33,,,,,,,381.13,Wallet,22.16,3.4,3.3
02-04-2025,08:53:00,CNR5088325758,Success,CUST9845,Prime SUV,Ellis Bridge,Navrangpura,8.22,8.31,,,,,,,153.85,Credit Card,16.98,4,4.6
01-04-2025,17:01:00,CNR4617074082,Success,CUST5692,Prime Sedan,Shahpur,Science City,6.11,19.02,,,,,,,127.88,UPI,7.55,3.2,3.1
05-04-2025,18:11:00,CNR1957339119,Success,CUST8478,eBike,Asarwa,CG Road,14.57,7.57,,,,,,,789.204,Wallet,6.36,4.9,4.6
12-04-2025,03:07:00,CNR5423533400,Canceled by Driver,CUST6116,Bike,Prahlad Nagar,Amraiwadi,,,,,Yes,Customer related issue,,,,,,,
02-04-2025,10:31:00,CNR5929078831,Success,CUST2986,Prime Sedan,Kubernagar,Thaltej,4.22,5.97,,,,,,,345.26,Wallet,18.96,3.2,4.9
08-04-2025,19:25:00,CNR5954690940,Canceled by Customer,CUST9499,Prime Plus,Jamialpur,Prahlad Nagar,,,Yes,Wrong Address,,,,,,,,,
25-04-2025,11:28:00,CNR3826113774,Incomplete,CUST8195,eBike,Naranpura,Kalupur,,,,,,,Yes,Other Issue,,,,,
21-04-2025,17:08:00,CNR7117374755,Success,CUST9997,Prime Plus,Drive-In,Memnagar,14.32,18.94,,,,,,,468.06,Debit Card,18.68,3,3.5
02-04-2025,20:09:00,CNR5033393793,Success,CUST9565,Bike,Science City,Sola,11.42,8.15,,,,,,,922.01,Debit Card,16.24,4.8,4.6
14-04-2025,05:50:00,CNR9480902000,Canceled by Driver,CUST9513,Prime Plus,CG Road,Behrampura,,,,,Yes,Personal & Car related issue,,,,,,,
30-04-2025,15:31:00,CNR5467658049,Success,CUST6517,Prime Sedan,Shahpur,CG Road,14.74,5.37,,,,,,,397.48,Debit Card,19.97,4.5,4.1
16-04-2025,16:07:00,CNR9772153057,Canceled by Driver,CUST6514,Bike,Science City,Paldi,,,,,Yes,Personal & Car related issue,,,,,,,
01-04-2025,17:46:00,CNR8086184379,Success,CUST8219,Auto,Vatva,Odhav,13.16,9.69,,,,,,,53.81,Credit Card,17.5,3.4,4
12-04-2025,14:10:00,CNR5487531545,Success,CUST3905,Prime Sedan,Dariapur,Bodakdev,8.8,11.37,,,,,,,172.5,Credit Card,23.73,3,4.8
18-04-2025,08:00:00,CNR4072721519,Success,CUST9468,eBike,Naranpura,Drive-In,8.67,19.83,,,,,,,107.19,Debit Card,11.98,3.9,4.6
04-04-2025,14:59:00,CNR9423648012,Success,CUST6263,Prime Plus,Shahpur,Gomtipur,6.58,19.94,,,,,,,445.04,Wallet,11.22,4.4,3.6
23-04-2025,13:29:00,CNR2105138089,Canceled by Driver,CUST4899,Prime Sedan,Navrangpura,Kalupur,,,,,Yes,Personal & Car related issue,,,,,,,
22-04-2025,03:09:00,CNR7763257482,Canceled by Driver,CUST9252,Mini,Chharodi,Ambawadi,,,,,Yes,Personal & Car related issue,,,,,,,
22-04-2025,08:24:00,CNR8089095814,Success,CUST3693,Prime Plus,Juhapura,Vatva,7.96,13.25,,,,,,,132.58,Wallet,12.16,3.7,3.9
28-04-2025,18:30:00,CNR3097646113,Success,CUST5628,eBike,Science City,Shahpur,5.17,17.72,,,,,,,349,UPI,11.04,4.9,3.1
24-04-2025,06:20:00,CNR1982647102,Success,CUST9984,eBike,Behrampura,Vejalpur,6.16,11.12,,,,,,,212.74,UPI,23,3.7,3.8
30-04-2025,05:43:00,CNR9818734100,Success,CUST3344,Mini,Odhav,Ghodasar,11.45,12.24,,,,,,,168.86,UPI,2.08,3.7,3.5
10-04-2025,07:07:00,CNR1411346687,Success,CUST3493,Bike,Juhapura,Manek Chowk,11.79,14.08,,,,,,,438.67,Cash,21.97,4.7,3.3
07-04-2025,22:56:00,CNR4551668747,Success,CUST1578,Prime Sedan,Science City,Vastrapur,7.3,6.98,,,,,,,487.97,Cash,9.33,3.8,3
11-04-2025,20:17:00,CNR7730371737,Success,CUST7990,eBike,Asarwa,Narol,4.24,19.53,,,,,,,862.35,Wallet,23.99,3.8,4.4
14-04-2025,05:27:00,CNR6252788940,Canceled by Driver,CUST9893,Prime Plus,Amraiwadi,Odhav,,,,,Yes,Customer related issue,,,,,,,
02-04-2025,16:49:00,CNR4318694390,Success,CUST2455,Bike,Vatva,Naroda,8.1,5.18,,,,,,,284.73,Wallet,15.92,3.2,3.4
28-04-2025,04:16:00,CNR1909997613,Canceled by Customer,CUST9927,Prime Sedan,Asarwa,Manek Chowk,,,Yes,Change of plans,,,,,,,,,
14-04-2025,00:05:00,CNR4092899403,Success,CUST2809,Auto,Vastrapur,Naranpura,12.42,6.04,,,,,,,196.6,Credit Card,22.93,3.4,3.6
29-04-2025,09:13:00,CNR9921560647,Success,CUST5546,Auto,Gomtipur,Satellite,9.38,5.5,,,,,,,1824.95,Credit Card,16.23,3.1,3.1
02-04-2025,22:54:00,CNR5648698203,Success,CUST4799,Prime SUV,Naranpura,Thaltej,10.47,13.97,,,,,,,640.41,Credit Card,14.87,4.6,4
11-04-2025,13:39:00,CNR2587349638,Success,CUST3436,Bike,Nikol,Maninagar,11.81,19.14,,,,,,,214.49,Debit Card,3.01,4.3,4.1
22-04-2025,01:44:00,CNR3136282222,Canceled by Driver,CUST9707,Bike,Kalupur,Gota,,,,,Yes,Personal & Car related issue,,,,,,,
14-04-2025,03:01:00,CNR3778016057,Incomplete,CUST2746,Bike,Maninagar,Lal Darwaja,,,,,,,Yes,Other Issue,,,,,
20-04-2025,12:45:00,CNR4020741390,Success,CUST5103,Bike,CG Road,Thaltej,13.51,10.98,,,,,,,391.56,Debit Card,9.93,3.2,3
07-04-2025,02:07:00,CNR3602856419,Success,CUST8608,Prime SUV,Ghodasar,Narol,12.87,11.22,,,,,,,257.48,Credit Card,6.71,3.2,3.2
03-04-2025,20:41:00,CNR6984558056,Success,CUST7318,eBike,Ranip,Vasna,5.64,16.81,,,,,,,99.72,Wallet,23.78,4.2,3.1
07-04-2025,00:58:00,CNR2483760723,Success,CUST3324,Mini,Behrampura,Paldi,9.48,6.03,,,,,,,467.14,Debit Card,14.73,3.9,3.5
03-04-2025,15:44:00,CNR1481515359,Success,CUST3352,Bike,Vatva,Kalupur,14.07,5.73,,,,,,,1207.81,Cash,10.81,3.1,4.2
13-04-2025,11:41:00,CNR9156489382,Canceled by Customer,CUST3901,Prime Sedan,Nikol,Chandkheda,,,Yes,AC is Not working,,,,,,,,,
02-04-2025,22:39:00,CNR4381741112,Success,CUST3148,Mini,Manek Chowk,Asarwa,11.85,5.38,,,,,,,101.13,Credit Card,11.46,4.6,3.3
15-04-2025,01:38:00,CNR3952097585,Incomplete,CUST8003,eBike,Vasna,Meghaninagar,,,,,,,Yes,Customer Demand,,,,,
01-04-2025,16:00:00,CNR9116511832,Success,CUST9158,Prime Plus,Vastrapur,Asarwa,12.48,18.21,,,,,,,461.37,UPI,22.94,3.9,4.6
09-04-2025,22:10:00,CNR8582419088,Success,CUST4603,Mini,New Ranip,Sabarmati,6.84,7.39,,,,,,,500.7,Credit Card,14.91,4.7,3.4
29-04-2025,04:19:00,CNR5648054219,Success,CUST5289,Prime SUV,Ambawadi,Ashram Road,5.96,17.71,,,,,,,311.14,Credit Card,6.43,3.1,3.3
18-04-2025,16:47:00,CNR7722991794,Success,CUST1294,Mini,Hansol,Amraiwadi,10.04,5.67,,,,,,,268,UPI,20.18,4.3,3.2
17-04-2025,10:57:00,CNR9121115983,Incomplete,CUST1327,eBike,Asarwa,Dariapur,,,,,,,Yes,Customer Demand,,,,,
12-04-2025,03:18:00,CNR5301079199,Success,CUST2513,Bike,Naranpura,Ashram Road,8.91,19.13,,,,,,,577.224,UPI,5.78,3.7,4.6
28-04-2025,10:04:00,CNR8607696858,Canceled by Driver,CUST3028,Auto,Chharodi,Gomtipur,,,,,Yes,Customer was coughing/sick,,,,,,,
10-04-2025,17:44:00,CNR7815535976,Canceled by Driver,CUST4451,eBike,Prahlad Nagar,Ambawadi,,,,,Yes,More than permitted people in there,,,,,,,
11-04-2025,00:41:00,CNR2881781675,Success,CUST9885,Bike,Vejalpur,Vejalpur,8.61,11.09,,,,,,,232.59,Debit Card,4.54,3.2,4.8
06-04-2025,08:52:00,CNR9498951704,Success,CUST7177,Auto,Kubernagar,Prahlad Nagar,8.34,8.94,,,,,,,123.276,Debit Card,4.14,4.6,4.5
28-04-2025,00:32:00,CNR5484046090,Canceled by Customer,CUST2424,eBike,Sabarmati,Lal Darwaja,,,Yes,Driver is not moving towards pickup location,,,,,,,,,
13-04-2025,13:07:00,CNR1530088090,Canceled by Driver,CUST8544,eBike,Narol,Amraiwadi,,,,,Yes,Customer was coughing/sick,,,,,,,
19-04-2025,23:36:00,CNR7139413134,Success,CUST7365,eBike,Isanpur,Amraiwadi,10.96,10.57,,,,,,,280.164,Debit Card,19.32,4,3.6
10-04-2025,23:03:00,CNR7775190695,Incomplete,CUST6602,Prime Sedan,Hansol,Gota,,,,,,,Yes,Other Issue,,,,,
22-04-2025,16:50:00,CNR7975495612,Success,CUST2288,Prime Plus,Amraiwadi,Satellite,10.35,5.87,,,,,,,401.25,Wallet,10.54,3.3,3.1
14-04-2025,01:04:00,CNR2541282939,Success,CUST9736,Prime Sedan,Prahlad Nagar,Ranip,8.57,10.8,,,,,,,278.26,Credit Card,12.03,4.2,3.5
30-04-2025,00:20:00,CNR6700829194,Canceled by Driver,CUST7096,Prime Sedan,Lal Darwaja,Chandkheda,,,,,Yes,Customer was coughing/sick,,,,,,,
28-04-2025,09:21:00,CNR5316168839,Canceled by Driver,CUST3401,eBike,Kubernagar,Nikol,,,,,Yes,Customer was coughing/sick,,,,,,,
24-04-2025,20:31:00,CNR3243702503,Success,CUST6434,Prime Plus,Vasna,Kalupur,9.91,17.86,,,,,,,915.12,Wallet,2.04,4.6,4.8
17-04-2025,06:17:00,CNR7402785899,Success,CUST4108,eBike,Vatva,Vejalpur,9.44,8.49,,,,,,,447.79,Credit Card,21.81,4.9,4
27-04-2025,08:53:00,CNR8620755083,Canceled by Customer,CUST8974,Bike,Vastrapur,Naroda,,,Yes,Change of plans,,,,,,,,,
08-04-2025,07:59:00,CNR1228264405,Success,CUST5892,Prime Plus,Vatva,Asarwa,11.64,9.21,,,,,,,59.26,Debit Card,23.35,3.5,3.9
19-04-2025,16:38:00,CNR6983877609,Success,CUST8040,Bike,Chandkheda,Nikol,9.62,6.32,,,,,,,518.772,Wallet,7.95,4.4,4
23-04-2025,14:40:00,CNR5882490139,Success,CUST5404,Prime Plus,Vasna,Bopal,3.83,10.21,,,,,,,152.55,Credit Card,16.84,3.1,4
